,name,job_title
183,"Blaz, Ben G.",Delegate
184,"Bliley, Tom",Representative
185,"Blouin, Michael",Representative
186,"Blum, Rod",Representative
187,"Blumenauer, Earl",Representative
188,"Blumenthal, Richard",Senator
189,"Blunt Rochester, Lisa",Representative
190,"Blunt, Roy",Senator
191,"Blute, Peter I.",Representative
192,"Boccieri, John A.",Representative
193,"Boebert, Lauren",Representative
194,"Boehlert, Sherwood",Representative
195,"Boehner, John A.",Representative
196,"Boggs, Corinne C. (Lindy)",Representative
197,"Boland, Edward P.",Representative
198,"Bolling, Richard",Representative
199,"Bonamici, Suzanne",Representative
200,"Bond, Christopher S.",Senator
201,"Boner, William H.",Representative
202,"Bonilla, Henry",Representative
203,"Bonior, David E.",Representative
204,"Bonker, Don",Representative
205,"Bonner, Jo",Representative
206,"Bono Mack, Mary",Representative
207,"Bono, Sonny",Representative
208,"Booker, Cory A.",Senator
209,"Boozman, John",Senator
210,"Bordallo, Madeleine Z.",Delegate
211,"Boren, Dan",Representative
212,"Boren, David L.",Senator
213,"Borski, Robert A.",Representative
214,"Boschwitz, Rudy",Senator
215,"Bosco, Douglas H.",Representative
216,"Bost, Mike",Representative
217,"Boswell, Leonard L.",Representative
218,"Boucher, Rick",Representative
219,"Boulter, Beau",Representative
220,"Bourdeaux, Carolyn",Representative
221,"Boustany, Charles W., Jr.",Representative
222,"Bowen, David R.",Representative
223,"Bowman, Jamaal",Representative
224,"Boxer, Barbara",Senator
225,"Boyd, Allen",Representative
226,"Boyda, Nancy E.",Representative
227,"Boyle, Brendan F.",Representative
228,"Brademas, John",Representative
229,"Bradley, Bill",Senator
230,"Bradley, Jeb",Representative
231,"Brady, Kevin",Representative
232,"Brady, Nicholas",Senator
233,"Brady, Robert A.",Representative
234,"Braley, Bruce L.",Representative
235,"Brasco, Frank",Representative
236,"Brat, Dave",Representative
237,"Braun, Mike",Senator
238,"Bray, William G.",Representative
239,"Breaux, John B.",Senator
240,"Breckinridge, John B.",Representative
241,"Brennan, Joseph E.",Representative
242,"Brewster, Bill K.",Representative
243,"Bridenstine, Jim",Representative
244,"Bright, Bobby",Representative
245,"Brindisi, Anthony",Representative
246,"Brinkley, Jack",Representative
247,"Britt, Robin",Representative
248,"Brock, Bill",Senator
249,"Brodhead, William",Representative
